time,input,pid,output
5090,2000,2000,1920
5095,2000,2000,1933
5100,2000,2000,1943
5105,2000,2000,1949
5110,2000,2000,1956
5115,2000,2000,1959
5120,2000,2000,1965
5125,2000,2000,1969
5130,2000,2000,1972
5135,2000,2000,1975
5140,2000,2000,1978
5145,2000,2000,1981
5150,2000,2000,1981
5155,2000,2000,1985
5160,2000,2000,1988
5165,2000,2000,1988
5170,2000,2000,1988
5175,2000,2000,1991
5180,2000,2000,1991
5185,2000,2000,1991
5190,2000,2000,1991
5195,2000,2000,1991
5200,2000,2000,1994
5205,2000,2000,1994
5210,2000,2000,1994
5215,2000,2000,1994
5220,2000,2000,1994
5225,2000,2000,1994
5230,2000,2000,1994
5235,2000,2000,1994
5240,2000,2000,1994
5245,2000,2000,1998
5250,2000,2000,1994
5255,2000,2000,1994
5260,2000,2000,1994
5265,2000,2000,1994
5270,2000,2000,1998
5275,2000,2000,1994
5280,2000,2000,1994
5285,2000,2000,1998
5290,2000,2000,1998
5295,2000,2000,1998
5300,2000,2000,1998
5305,2000,2000,1998
5310,2000,2000,1994
5315,2000,2000,1998
5320,2000,2000,1998
5325,2000,2000,1998
5330,2000,2000,1998
5335,2000,2000,1998
5340,2000,2000,1998
5345,2000,2000,1998
5350,2000,2000,1998
5355,2000,2000,1998
5360,2000,2000,1998
5365,2000,2000,1998
5370,2000,2000,1998
5375,2000,2000,1998
5380,2000,2000,1998
5385,2000,2000,1998
5390,2000,2000,1998
5395,2000,2000,1998
5400,2000,2000,1998
5405,2000,2000,1998
5410,2000,2000,1998
5415,2000,2000,1998
5420,2000,2000,1998
5425,2000,2000,1998
5430,2000,2000,1998
5435,2000,2000,1998
5440,2000,2000,1998
5445,2000,2000,1998
5450,2000,2000,1998
5455,2000,2000,1998
5460,2000,2000,1998
5465,2000,2000,1998
5470,2000,2000,1998
5475,2000,2000,1998
5480,2000,2000,1998
5485,2000,2000,1998
5490,2000,2000,1998
5495,2000,2000,1998
5500,1000,1000,1994
5505,1000,1000,1943
5510,1000,1000,1840
5515,1000,1000,1733
5520,1000,1000,1630
5525,1000,1000,1540
5530,1000,1000,1463
5535,1000,1000,1398
5540,1000,1000,1340
5545,1000,1000,1289
5550,1000,1000,1250
5555,1000,1000,1211
5560,1000,1000,1182
5565,1000,1000,1156
5570,1000,1000,1134
5575,1000,1000,1115
5580,1000,1000,1098
5585,1000,1000,1082
5590,1000,1000,1069
5595,1000,1000,1063
5600,1000,1000,1053
5605,1000,1000,1021
5610,1000,1000,1037
5615,1000,1000,1031
5620,1000,1000,1028
5625,1000,1000,1024
5630,1000,1000,1018
5635,1000,1000,1018
5640,1000,1000,1015
5645,1000,1000,1011
5650,1000,1000,1011
5655,1000,1000,1008
5660,1000,1000,1005
5665,1000,1000,1005
5670,1000,1000,1005
5675,1000,1000,1005
5680,1000,1000,1002
5685,1000,1000,1002
5690,1000,1000,1002
5695,1000,1000,1002
5700,1000,1000,1002
5705,1000,1000,999
5710,1000,1000,999
5715,1000,1000,999
5720,1000,1000,999
5725,1000,1000,999
5730,1000,1000,999
5735,1000,1000,999
5740,1000,1000,999
5745,1000,1000,999
5750,1000,1000,999
5755,1000,1000,999
5760,1000,1000,999
5765,1000,1000,999
5770,1000,1000,999
5775,1000,1000,999
5780,1000,1000,999
5785,1000,1000,999
5790,1000,1000,995
5795,1000,1000,999
5800,1000,1000,995
5805,1000,1000,995
5810,1000,1000,999
5815,1000,1000,999
5820,1000,1000,999
5825,1000,1000,995
5830,1000,1000,999
5835,1000,1000,999
5840,1000,1000,999
5845,1000,1000,995
5850,1000,1000,995
5855,1000,1000,995
5860,1000,1000,995
5865,1000,1000,999
5870,1000,1000,999
5875,1000,1000,999
5880,1000,1000,995
5885,1000,1000,995
5890,1000,1000,995
5895,1000,1000,995
5900,1000,1000,999
5905,1000,1000,995
5910,1000,1000,995
5915,1000,1000,995
5920,1000,1000,995
5925,1000,1000,995
5930,1000,1000,999
5935,1000,1000,995
5940,1000,1000,995
5945,1000,1000,995
5950,1000,1000,995
5955,1000,1000,995
5960,1000,1000,995
5965,1000,1000,995
5970,1000,1000,995
5975,1000,1000,995
5980,1000,1000,995
5985,1000,1000,995
5990,1000,1000,995
5995,1000,1000,995
6000,2000,2000,999
6005,2000,2000,1050
6010,2000,2000,1150
6015,2000,2000,1260
6020,2000,2000,1359
6025,2000,2000,1450
6030,2000,2000,1527
6035,2000,2000,1595
6040,2000,2000,1653
6045,2000,2000,1701
6050,2000,2000,1743
6055,2000,2000,1778
6060,2000,2000,1811
6065,2000,2000,1836
6070,2000,2000,1859
6075,2000,2000,1878
6080,2000,2000,1894
6085,2000,2000,1911
6090,2000,2000,1923
6095,2000,2000,1930
6100,2000,2000,1940
6105,2000,2000,1946
6110,2000,2000,1956
6115,2000,2000,1959
6120,2000,2000,1965
6125,2000,2000,1969
6130,2000,2000,1972
6135,2000,2000,1975
6140,2000,2000,1978
6145,2000,2000,1981
6150,2000,2000,1985
6155,2000,2000,1985
6160,2000,2000,1988
6165,2000,2000,1988
6170,2000,2000,1988
6175,2000,2000,1991
6180,2000,2000,1991
6185,2000,2000,1991
6190,2000,2000,1991
6195,2000,2000,1991
6200,2000,2000,1994
6205,2000,2000,1994
